Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,20116137325.8206
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,14887629268.2927
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,145009181490.62
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,709000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,58375976292.9678
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1370281481.48148
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,389288056265.325
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,12641209802.112
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1327836171068.51
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,433258467676.515
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,42607176470.5882
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,9907500000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,34729228723.4043
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,323056957972.312
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,4418000000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,60258239055.5829
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,521861292586.616
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,1636280797.08056
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,15651545331.5404
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,6842700000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,2315437338.08809
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,36572764862.8234
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,19946496562.9733
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,15061922801.6271
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1444733258971.65
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,12005825769.5087
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,69889347433.4324
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,17933606353.1775
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,2841786382.19063
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,1703698676.69742
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,25808561550.9514
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,40804449726.0184
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1645423407568.36
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,5591623664.9466
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,2380087758.04137
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,10829076801.729
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,252940023046.007
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,14722730697890.1
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,271437596293.843
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,1235400352.2931
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,48716960860.0664
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,10187122341.4051
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,61846895120.7808
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,61348579465.1017
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,57203783203.0259
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,107352000000
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,2595821708.81313
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,24612646487.7213
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,245339322066.759
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,356084867685.639
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,3384385216.71609
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,504214814.814815
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,78844702329.0785
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,98808010000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,365252651278.852
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,24638720000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,10021856754.4944
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,30650285471.7215
GDP (current US$),NY.GDP.MKTP.CD,Eswatini,SWZ,3972728948.47088
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,107645054311.876
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,..
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,4533883782.27458
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,269594831987.549
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2630317731455.26
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,..
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,15316826191.5682
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,1868086274.822
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,15846489610.8073
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,3846413928653.71
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,68532281805.6722
GDP (current US$),NY.GDP.MKTP.CD,Gibraltar,GIB,..
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,188835201625.91
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,..
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,1042100555.55556
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,5844000000
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,77604632170.5853
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,15681050917.1563
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,1431758242.90375
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,5471256594.72422
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,14508218017.4032
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,23662231633.9139
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,346585881503.635
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,155808436238.487
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,21718075725.2054
GDP (current US$),NY.GDP.MKTP.CD,India,IND,2660245248867.63
