date,market_cap
2016-01-01,7066735416.21
2016-02-01,6327796346.01
2016-03-01,7848112908.06
2016-04-01,7988232275.23
2016-05-01,8322690516.629999
2016-06-01,10346795535.12
2016-07-01,12571878579.679998
2016-08-01,11636792304.12
2016-09-01,11157888455.17
2016-10-01,11960647125.24
2016-11-01,13548819529.52
2016-12-01,13818755686.310001
2017-01-01,17945050813.4
2017-02-01,18188683735.97
2017-03-01,22772751541.69
2017-04-01,25234795804.23
2017-05-01,36262436112.8
2017-06-01,83474052771.43
2017-07-01,87752279719.31999
2017-08-01,91060800920.85
2017-09-01,163369293185.01
2017-10-01,135813354615.35
2017-11-01,174680164823.81
2017-12-01,305365362160.9
2018-01-01,546578215818.46
2018-02-01,393813446722.38
2018-03-01,405440740306.36
2018-04-01,224960844846.24002
2018-05-01,360455973244.46
2018-06-01,287465140480.85
2018-07-01,227179676905.56
2018-08-01,244639262320.55002
2018-09-01,213343703802.25
2018-10-01,201595483388.65
2018-11-01,184266298975.52
2018-12-01,122992186510.68
2019-01-01,117657589851.8
2019-02-01,103445520682.71
2019-03-01,117679928826.23
2019-04-01,129204433163.8
2019-05-01,157790493605.51
2019-06-01,247847004244.1
2019-07-01,285861136079.26
2019-08-01,262235077978.56
2019-09-01,236463430449.33
2019-10-01,207420142082.5
2019-11-01,231578619753.73
2019-12-01,187732598427.93
2020-01-01,178662874022.96
2020-02-01,241985984903.25
2020-03-01,227082497863.14
2020-04-01,173135061690.76
2020-05-01,232527681823.76
2020-06-01,264585148346.49002
2020-07-01,243497881620.01
2020-08-01,325630281363.65
2020-09-01,348890092012.32
2020-10-01,306555538852.56
2020-11-01,371070394962.01
2020-12-01,525306160819.55
2021-01-01,724727158488.47
2021-02-01,927758035886.38
2021-03-01,1367687522124.8
2021-04-01,1658405582398.6702
2021-05-01,1942701482831.39
2021-06-01,1425567194224.08
2021-07-01,1215511794642.54
2021-08-01,1412894172189.75
2021-09-01,1918209464713.6
2021-10-01,1817785574576.77
2021-11-01,2287529088129.57
2021-12-01,2250919770370.45
