state,cases,deaths
New York,25665,210
New Jersey,2844,27
California,2240,41
Washington,2101,109
Florida,1401,17
Michigan,1324,16
Illinois,1285,12
Louisiana,1172,34
Georgia,1026,32
Pennsylvania,851,7
Massachusetts,777,9
Texas,732,9
Colorado,721,8
Tennessee,656,1
Ohio,444,6
Wisconsin,418,5
Connecticut,415,10
North Carolina,399,0
Indiana,366,12
Maryland,349,4
Mississippi,320,1
South Carolina,299,5
Arizona,294,2
Virginia,290,7
Nevada,278,4
Minnesota,262,1
Utah,257,1
Alabama,215,0
Arkansas,201,0
Oregon,191,5
Missouri,184,4
District of Columbia,138,2
Kentucky,124,3
Rhode Island,124,0
Maine,107,0
Oklahoma,106,3
Iowa,105,0
New Hampshire,101,0
Vermont,95,2
Delaware,91,0
Kansas,86,2
New Mexico,83,0
Hawaii,77,0
Nebraska,73,0
Idaho,50,0
Montana,45,0
Puerto Rico,39,2
Alaska,36,0
North Dakota,34,0
Guam,32,1
South Dakota,30,1
Wyoming,29,0
West Virginia,20,0
Virgin Islands,17,0
